"SYMBOL ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","LTP ","INDICATIVE CLOSE ","CHNG ","%CHNG ","VOLUME (shares)","VALUE (₹ Crores)","52W H ","52W L ","30 D   %CHNG ","365 D % CHNG -"
"IOB","46.30","46.84","45.45","46.23","45.49","-","-0.74","-1.60","17,76,919","8.16","75.55","44.48","-7.41","-28.33"
"GAIL","160.00","161.94","157.47","160.74","158.13","-","-2.61","-1.62","55,82,697","88.50","246.30","155.51","-4.12","-10.95"
"ONGC","233.50","233.85","228.50","233.00","229.20","-","-3.80","-1.63","49,23,716","113.21","345.00","223.00","-7.09","-13.50"
"IRB","46.40","46.70","45.51","46.38","45.61","-","-0.77","-1.66","72,44,941","33.24","78.15","45.06","-6.40","-29.89"
"BANKINDIA","98.09","98.92","96.24","98.08","96.45","-","-1.63","-1.66","60,94,223","59.48","157.95","90.05","-5.95","-27.78"
"HINDPETRO","311.00","312.80","302.30","309.85","304.65","-","-5.20","-1.68","31,62,669","97.10","457.15","295.37","-10.44","-41.52"
"GODREJPROP","1,985.00","2,002.10","1,936.50","1,987.05","1,952.40","-","-34.65","-1.74","6,12,358","120.63","3,402.70","1,901.00","-5.19","-20.30"
"UPL","648.00","648.35","635.05","647.50","636.15","-","-11.35","-1.75","15,36,394","98.66","658.25","430.58","19.39","33.62"
"DIVISLAB","5,726.40","5,785.00","5,579.25","5,726.40","5,625.60","-","-100.80","-1.76","1,35,938","76.76","6,285.45","3,350.00","2.68","61.77"
"MANKIND","2,344.00","2,353.85","2,296.00","2,342.10","2,300.00","-","-42.10","-1.80","3,23,248","74.91","3,054.80","1,901.05","-4.56","11.57"
"TATACOMM","1,406.60","1,411.60","1,376.90","1,405.45","1,380.00","-","-25.45","-1.81","1,84,610","25.63","2,175.00","1,376.90","-10.45","-26.40"
"CANBK","85.03","85.58","83.26","85.02","83.45","-","-1.57","-1.85","1,59,94,524","134.85","128.90","83.26","-7.52","-85.13"
"PIIND","3,084.80","3,097.95","3,006.65","3,084.80","3,027.65","-","-57.15","-1.85","2,21,504","67.26","4,804.05","3,006.65","-8.55","-16.00"
"IOC","118.26","119.00","116.28","118.65","116.45","-","-2.20","-1.85","65,50,682","76.91","185.97","114.40","-4.45","-31.52"
"M&M","2,837.00","2,840.00","2,706.40","2,777.85","2,726.00","-","-51.85","-1.87","15,98,884","439.48","3,270.95","1,788.80","-1.90","42.41"
"BAJAJ-AUTO","8,360.10","8,413.95","8,213.30","8,417.90","8,259.55","-","-158.35","-1.88","2,25,920","186.76","12,774.00","7,890.00","0.40","-0.54"
"MAHABANK","48.60","49.10","47.75","48.71","47.79","-","-0.92","-1.89","48,14,560","23.31","73.50","46.11","0.19","-18.68"
"TVSMOTOR","2,360.65","2,384.25","2,304.10","2,360.65","2,313.95","-","-46.70","-1.98","3,28,799","76.77","2,958.00","1,873.00","5.79","10.66"
"DLF","660.00","666.40","642.15","656.80","643.70","-","-13.10","-1.99","20,68,917","134.57","967.60","642.15","-6.69","-28.33"
"BPCL","248.45","249.40","242.75","248.45","243.45","-","-5.00","-2.01","38,64,463","94.64","376.00","242.20","-4.92","-60.25"
